partb1|partb2|partb3|partb4|partb5|partb6|partb7|partb8|partb9|partb10|partb11|partb12|partb13|partb14|partb15|partb16|partb17|partb18|partb19|partb20|partb21|partb22|partb23|partb24|partb25|partb26|partb27|partb28|partb29|partb30|partb31|partb32|partb33|partb34
1. A person who always fools around:|2. A person without much social or academic ability:|3. An ugly female:|4.  An ugly male:|5. A person who always does the wrong thing:|6. A person who studies a great deal:|7. An effeminate male (not necessarily homosexual):|8. A masculine female (not necessarily homosexual):|9. A homosexual male:|10. A homosexual female:|11. An athletic person:|12. A male with a great deal of sexual experiences:|13. A female with a great deal of sexual experiences:|14. A sexually attractive male:|15. A sexually attractive female:|16. A Caucasian:|17. An African American:|18. A person who is Jewish:|19. A person who is Catholic:|20. A person who is protestant:|21. a. A Puerto Rican:| b. An Italian:|c. A person of Irish descent:|d. A German:|e. A French person:|f. A person of Polish decent:|g. A Russian:|h. A Hispanic:|i. An Oriental:|22. A person who allows him/her to be exploited by others:|23. A obnoxious person:|24. A cruel person:|25. A person who does well academically:|26. A person who drinks a lot:
fuckboy|recluse|bitch|toe|fuck up|nerd|gay|butch|gay|lesbian|jock|player|slut|stud|queen|white|black|Jew|catholic|protestant|Puerto Rican|dego|mick|nazi|French|Polish|Russian|Mexican|Asian|pushover|douche|asshole|nerd|drunk
asshole|dud|grenade|roadkill|trash|bookworm|gay|butch|gay|dyke|jock|womanizer|slut|hottie|babe|white|black|Jew|catholic|christian|Puerto Rican|dego|mick|German|French|Polish|Russian|Hispanic|Chinese|pushover|douche|asshole|nerd|alcoholic
asshole|dud|bitch|roadkill|scumbag|bookworm|gay|butch|gay|dyke|jock|man whore|slut|hottie|bombshell|white|black|Jew|catholic|christian|Puerto Rican|dego|mick|German|French|Polish|Russian|Hispanic|Chinese|softy|douche|asshole|nerd|alcoholic
asshole|dud|bitch|roadkill|fuck up|nerd|gay|butch|gay|dyke|jock|player|slut|stud|babe|white|black|Jew|christian|christian|Puerto Rican|dego|mick|German|French|Polish|Russian|Hispanic|Chinese|softy|douche|asshole|nerd|alcoholic
fuckboy|dud|grenade|roadkill|scumbag|bookworm|gay|dyke|gay|lesbian|jock|womanizer|slut|stud|smokin|white|black|Jew|christian|christian|Puerto Rican|guido|mick|German|French|Polish|Russian|Hispanic|Chinese|softy|douche|asshole|overacheiver|drunk
clown|dud|bitch|roadkill|trash|nerd|gay|dyke|gay|dyke|jock|player|slut|hottie|smokin|white|black|Jew|christian|christian|Rican|guido|mick|German|French|Polish|Russian|Hispanic|Chinese|pushover|douche|asshole|overacheiver|drunk
clown|dud|bitch|roadkill|fuck up|nerd|gay|butch|gay|lesbian|jock|womanizer|slut|hottie|babe|white|black|Jew|catholic|christian|Rican|guido|mick|German|French|Polish|Russian|Hispanic|Chinese|pussy|douche|asshole|overacheiver|drunk
asshole|dud|grenade|roadkill|trash|nerd|gay|dyke|gay|lesbian|jock|player|slut|stud|smokin|white|black|Jew|christian|christian|Rican|guido|Irish |German|French|Polish|Russian|Hispanic|Chinese|pussy|douche|asshole|overacheiver|drunk
clown|dud|bitch|roadkill|scumbag|bookworm|gay|dyke|gay|dyke|jock|player|slut|hottie|babe|white|black|Jew|christian|christian|Rican|guido|Irish |German|French|Polish|Russian|Hispanic|Chinese|pussy|douche|asshole|intelligent|drunk
asshole|dud|grenade|roadkill|trash|nerd|gay|dyke|gay|dyke|jock|player|slut|stud|smokin|white|black|Jew|christian|christian|Rican|guido|Irish |German|French|Polish|Russian|Hispanic|Chinese|pussy|douche|asshole|intelligent|alcoholic
asshole|dud|bitch|roadkill|scumbag|bookworm|gay|dyke|gay|lesbian|jock|man whore|slut|hottie|babe|white|black|Jew|christian|christian|Rican|guido|Irish |German|French|Polish|Russian|Hispanic|Chinese|pushover|douche|asshole|intelligent|alcoholic
clown|dud|grenade|roadkill|scumbag|nerd|gay|dyke|gay|dyke|jock|man whore|slut|stud|babe|white|black|Jew|christian|christian|Puerto Rican|guido|Irish |German|French|Polish|Russian|Hispanic|Chinese|pushover|douche|asshole|overacheiver|alcoholic
asshole|dud|bitch|roadkill|scumbag|bookworm|gay|butch|gay|dyke|jock|man whore|slut|hottie|smokin|white|black|Jew|christian|christian|Puerto Rican|guido|Irish |German|French|Polish|Russian|Hispanic|Chinese|pushover|douche|asshole|overacheiver|alcoholic
cfool|dud|grenade|roadkill|scumbag|bookworm|gay|butch|gay|dyke|jock|womanizer|slut|stud|babe|white|black|Jew|christian|christian|Puerto Rican|dego|Irish |German|French|Polish|Russian|Hispanic|Chinese|pushover|douche|asshole|overacheiver|alcoholic
asshole|dud|grenade|roadkill|fuck up|bookworm|gay|butch|gay|dyke|jock|womanizer|slut|hottie|babe|white|black|Jew|christian|christian|Puerto Rican|dego|Irish |German|French|Polish|Russian|Hispanic|Chinese|pushover|douche|asshole|overacheiver|alcoholic
