partc1|partc2|partc3|partc4|partc5|partc6|partc7|partc8|partc9|partc10|partc11|partc12|partc13
1. To date a person exclusively:|2. To be excessively submissive to one's girlfriend:|3. To be turned down when asking for a date:|4. A drinking party:|5. A wild party:|6. To make upcomplimentary remarks about someone:|7. To tease or annoy:|8. To reject someone for membership in a club or org.:|9. A girlfriend:|10. A boyfriend:|11. A date in which expenses are shared:|12. To have your date not show up:|13. To have romantic interest in someone w/o his/her interest:
exclusive|whipped|rejected|party|rager|insult|fuck with|rejected|bae|bae|date|no show|obsession
date|whipped|turned down|party|rager|insult|fuck with|turn down|bae|bae|date|stood up|crush
date|whipped|turned down|party|rager|insult|fuck with|turn down|bae|bae|date|stood up|crush
date|whipped|turned down|party|rager|insult|fuck with|turn down|bae|bae|date|stood up|crush
date|whipped|rejected|party|rager|insult|fuck with|rejected|bae|bae|date|stood up|crush
date|whipped|turned down|party|rager|insult|fuck with|turn down|bae|bae|date|no show|crush
date|whipped|rejected|party|rager|insult|fuck with|turn down|bae|bae|date|stood up|crush
date|whipped|rejected|party|rager|insult|fuck with|rejected|bae|bae|date|stood up|crush
date|whipped|turned down|party|rager|insult|fuck with|turn down|bae|bae|date|now show|crush
date|whipped|turned down|party|rager|insult|fuck with|turn down|bae|bae|date|stood up|crush
date|whipped|rejected|party|rager|insult|fuck with|rejected|bae|bae|date|stood up|crush
date|whipped|turned down|party|rager|insult|fuck with|turn down|bae|bae|date|stood up|crush
date|whipped|rejected|party|rager|insult|fuck with|rejected|bae|bae|date|stood up|crush
date|whipped|turned down|party|rager|insult|fuck with|turn down|bae|bae|date|stood up|crush
date|whipped|rejected|party|rager|insult|fuck with|rejected|bae|bae|date|stood up|crush
