partd1|partd2|partd3|partd4|partd5|partd6|partd7|partd8|partd9|partd10|partd11|partd12|partd13|partd14|partd15|partd16|partd17|partd18|partd19|partd20|partd21|partd22|partd23|partd24|partd25|partd26|partd27|partd28|partd29
1. To be obsessed with sex because of deprivation:|2. To be sexually aroused:|3. To be eager for or looking forward to something or someone:|4. To be drunk:|5. To be very tired:|6. To be angry:|7. To be frightened:|8. To be disgusted:|9. To be constantly complaining and irritable:|10. To be astonished:|11. To be tense at the last minute:|12. To eat between meals:|13. To vomit:|14. To have sexual intercourse:|15. To sleep:|16. To urinate:|17. To defecate:|18. To masturbate:|19. To menstrate: |20. To leave a place:|21. To sunbathe:|22. To do poorly on something:|23. A phrase accompanying a gesture with the middle finger:|24. To succeed at the last minute:|25. To be unable to think clearly:|26. a. To reach sexual climax (male):|b. To reach sexual climax (female):|27. To organize your thoughts:|28. Expression(s) to voice an enthusiastic agreement:
whore|horny|excited|fucked up|beat|pissed|terrified|grossed out|buzzkill|amazed|choking up|snack|throw up|bang|pass out|pee|shit|jerk off|period|ditch|tan|fuck up|fuck off|pull off|dead|cum|cum|gather|yes
nympho|turned on|excited|turnt|dead|pissed |scared|sickened|negative nacncy|dead|on edge|snack|puke|bone|pass out|piss|poop|jack off|period|bail|tan|fuck up|fuck off|killed it|clouded|cum|cum|collect|yes
whore|turned on|excited|turnt|dead|pissed |scared|sickened|negative nacncy|what|on edge|snack|puke|bone|pass out|piss|poop|rub one out|period|bail|tan|fuck up|fuck off|pull off|clouded|cum|cum|gather|yes
nympho|turned on|excited|fucked up|dead|pissed |terrified|grossed out|negative nacncy|dead|choking up|snack|puke|bone|pass out|piss|shit|rub one out|period|ditch|tan|fuck up|fuck off|killed it|clouded|cum|cum|collect|yes
whore|horny|hype|fucked up|bushed|pissed |scared|sickened|buzzkill|dead|on edge|snack|puke|bang|pass out|piss|poop|jack off|period|bail|tan|fuck up|fuck off|pull off|jumbled|cum|cum|collect|yes
nympho|turned on|stoked|turnt|bushed|pissed |scared|sickened|negative nacncy|amazed|on edge|snack|puke|bone|pass out|pee|shit|jack off|period|ditch|tan|fuck up|fuck off|killed it|clouded|cum|cum|collect|yes
whore|horny|stoked|fucked up|bushed|pissed |terrified|grossed out|buzzkill|dead|choking up|snack|throw up|bone|pass out|pee|poop|rub one out|period|bail|tan|fuck up|fuck off|pull off|clouded|cum|cum|think|yes
whore|horny|stoked|turnt|beat|pissed |terrified|sickened|buzzkill|amazed|on edge|snack|puke|bone|pass out|piss|poop|jack off|period|roll|tan|fuck up|fuck off|killed it|dazed|cum|cum|collect|yes
whore|horny|hype|turnt|beat|pissed |scared|grossed out|negative nacncy|dead|on edge|snack|puke|bang|pass out|leak|shit|jack off|period|bail|tan|fuck up|fuck off|pull off|clouded|cum|cum|think|definitely
nympho|turned on|hype|fucked up|beat|pissed |scared|grossed out|buzzkill|amazed|on edge|snack|puke|bang|pass out|piss|poop|jack off|period|roll|tan|fuck up|fuck off|killed it|dazed|cum|cum|collect|definitely
nympho|turned on|hype|turnt|bushed|pissed |terrified|sickened|negative nacncy|dead|on edge|snack|throw up|bang|pass out|piss|shit|rub one out|period|bail|tan|fuck up|fuck off|pull off|clouded|cum|cum|collect|yes
nympho|horny|hype|fucked up|beat|pissed |scared|grossed out|negative nacncy|what|on edge|snack|puke|bone|pass out|piss|poop|jack off|period|bail|tan|fuck up|fuck off|pull off|dazed|cum|cum|collect|yes
whore|turned on|hype|turnt|bushed|pissed |scared|sickened|negative nacncy|dead|choking up|snack|puke|bang|pass out|leak|shit|jack off|period|roll|tan|fuck up|fuck off|pull off|dazed|cum|cum|collect|definitely
nympho|horny|hype|fucked up|beat|pissed |terrified|grossed out|negative nacncy|amazed|on edge|snack|throw up|bone|pass out|piss|shit|rub one out|period|bail|tan|fuck up|fuck off|pull off|dazed|cum|cum|collect|yes
nympho|turned on|hype|turnt|bushed|pissed |scared|sickened|buzzkill|dead|on edge|snack|puke|bang|pass out|piss|shit|jack off|period|roll|tan|fuck up|fuck off|killed it|clouded|cum|cum|collect|definitely
