parte1|parte2|parte3|parte4|parte5|parte6|parte7|parte8|parte9|parte10|parte11|parte12|parte13|parte14|parte15|parte16|parte17|parte18|parte19|parte20|parte21|parte22|parte23|parte24|parte25
1. Television:|2. Bathroom:|3. Cigarette:|4. Alcohol:|5. A pimple:|6. A female breast:|7. Testicles:|8. A penis:|9. A vagina:|10. Buttocks:|11. A prophylactic:|12. Money|13. A misfortune|14. Courage|15. A messy room|Person who spends too much time on the internet|Someone who looks nice/well dressed|go out for a beverage|send an SMS|Term for another person apart from primary partner (romantically)|Term used to address a group of people|to let loose socially|Telephone/Cell Phone|To go on vacation|A group of friends
TV|Bathroom|Cig|Alcohol|Zit|Boob|Balls|Dick|Pussy|Butt|Meds|Cash|Shame|Has balls|Messy room|Nerd|On point|Get a drink|Text|sidepiece|Guys|chill|Phone|get away|boys
TV|Bathroom|Ciggie|Booze|Pimple|Tit|nuts|Dick|Vag|Ass|Meds|Cash|Shame|Has balls|Messy room|computer freak|On point|Get a drink|iMessage|sidepiece|Guys|Chill |Phone|get away|Squad
TV|Bathroom|Ciggie|Booze|Pimple|Boob|Balls|Dick|Vag|Ass|Meds|Cash|Shame|Has balls|Messy room|Nerd|On point|Get a drink|Text|sidepiece|Guys|Chill |Phone|get away|Squad
TV|Bathroom|Ciggie|Booze|Zit|Tit|Balls|Dick|Vag|Butt|Meds|Cash|Shame|Has balls|Messy room|Nerd|On point|Get a drink|iMessage|sidepiece|Guys|Chill |Phone|get away|boys
TV|Bathroom|Ciggie|Booze|Pimple|Boob|Balls|Dick|Vag|Ass|Meds|Cash|Shame|Has balls|Messy room|computer freak|On point|Get a drink|Text|sidepiece|Guys|Chill |Phone|get away|boys
TV|Bathroom|stoge|Alcohol|Pimple|Tit|Balls|Dick|Vag|Butt|Meds|Cash|Shame|Has balls|Messy room|Nerd|On point|Get a drink|iMessage|sidepiece|Guys|Chill |Phone|Go on vacation|Squad
TV|Bathroom|Ciggie|Booze|Zit|Boob|Balls|Dick|Vag|Ass|Meds|Cash|Shame|Has balls|Messy room|Nerd|On point|Get a drink|iMessage|sidepiece|Guys|Chill |Phone|Go on vacation|Squad
TV|Bathroom|Ciggie|Booze|Pimple|Boob|nuts|Dick|Vag|Ass|Meds|Cash|Shame|Has balls|Messy room|Nerd|On point|Get a drink|Text|sidepiece|Guys|Chill |Phone|Go on vacation|team
TV|Bathroom|stoge|Alcohol|Pimple|Boob|Balls|Dick|Pussy|Butt|Meds|Cash|Shame|Has balls|Messy room|computer freak|On point|Get a drink|iMessage|sidepiece|Guys|Chill |Phone|Go on vacation|Squad
TV|Bathroom|Ciggie|Booze|Pimple|Tit|Balls|Dick|Vag|Ass|Meds|Cash|Shame|Has balls|Messy room|Nerd|On point|Get a drink|iMessage|sidepiece|Guys|Chill |Phone|Go on vacation|Squad
TV|Bathroom|Ciggie|Booze|Zit|Tit|nuts|Dick|Vag|Ass|Meds|Cash|Shame|Has balls|Messy room|Nerd|On point|Get a drink|iMessage|sidepiece|Guys|Chill |Phone|Go on vacation|team
TV|Bathroom|stoge|Alcohol|Pimple|Tit|Balls|Dick|Vag|Ass|Meds|Cash|Shame|Has balls|Messy room|Nerd|On point|Get a drink|iMessage|sidepiece|Guys|Chill |Phone|Go on vacation|Squad
TV|Bathroom|Ciggie|Booze|Pimple|Boob|Balls|Dick|Pussy|Ass|Meds|Cash|Shame|Has balls|Messy room|Nerd|On point|Get a drink|Text|sidepiece|Guys|Chill |Phone|Go on vacation|Squad
TV|Bathroom|Ciggie|Alcohol|Zit|Tit|Balls|Dick|Vag|Ass|Meds|Cash|Shame|Has balls|Messy room|Nerd|On point|Get a drink|iMessage|sidepiece|Guys|Chill |Phone|Go on vacation|team
TV|Bathroom|Ciggie|Booze|Pimple|Tit|nuts|Dick|Vag|Ass|Meds|Cash|Shame|Has balls|Messy room|Nerd|On point|Get a drink|iMessage|sidepiece|Guys|Chill |Phone|Go on vacation|Squad
